97201,1 
97202,3 
97203,5 
97204,12
97205,10 
97206,11 
97209,24
97210,2 
97211,0
97212,12 
97213,5 
97214,7 
97215,22 
97216,2 
97217,1 
97218,12 
97219,11 
97220,1 
97221,0 
97222,6 
97223,3 
97225,8 
97227,2 
97229,7 
97230,7 
97231,2 
97232,6 
97233,12 
97236,76 
97239,3
97258,5 
97266,4 
97005,12 
97006,1 
97006,10 
97007,7 
97007,4 
97008,6 
97062,1
97075,2 
97076,9 
97106,7 
97109,2  
97113,15 
97116,1 
97117,14 
97119,12 
97123,8 
97124,9 
97125,7 
97133,3 
97140,4 
97144,16 
97223,2  
97224,12 
97225,1 
97229,15 
97281,3  
97291,8 
97298,3 
